	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_10005_7.txt	10005	7	17.6972	19.75986	20.77748	20.01429	21.02493	19.60973	20.38865	19.04921	20.89187	20.29208	18.38049	19.14848	19.64129	20.2174	19.41035	20.10053	18.46531	16.31517	19.11749	20.38533	19.62058	20.22047	20.27902	18.09198	19.72368	18.20533	18.37142	18.10582	18.65636	19.70249	18.39765	17.98564
alpha_rarefaction_10005_8.txt	10005	8	17.73965	20.30041	20.58317	19.96421	20.86102	20.11101	21.3653	19.30587	20.80133	19.43749	18.81372	19.14952	20.1131	20.72999	19.57098	19.44003	18.73387	16.35014	19.49918	20.35986	18.86296	19.32147	20.13904	17.43381	18.91011	19.67138	18.40804	17.41672	18.44646	20.00596	18.7094	18.66759
alpha_rarefaction_10005_9.txt	10005	9	17.3712	19.43641	20.74023	19.10219	20.83444	19.5782	20.70082	19.97574	19.97839	19.29351	18.37509	19.15895	19.42989	19.81066	18.95933	19.54413	18.77106	17.28988	19.36848	20.85983	18.68054	20.2784	20.03802	18.23285	19.36304	18.58712	18.30203	17.85481	18.20102	19.65927	18.6687	18.32049
alpha_rarefaction_12004_0.txt	12004	0	17.55154	20.7219	21.10973	19.54496	21.07403	20.62556	21.29825	19.93576	20.79794	19.93847	19.49699	19.04468	20.22715	20.85741	19.61955	20.26408	19.45554	17.17393	20.03915	20.58993	19.41446	20.07786	20.68167	18.68989	20.06625	20.10443	18.79276	18.37751	19.14036	20.23445	18.86488	18.77514
alpha_rarefaction_12004_1.txt	12004	1	17.42747	20.52155	21.09826	20.7656	21.24112	19.54671	21.32559	20.12562	21.36797	19.78667	19.24447	19.71849	20.15449	20.85582	20.07297	19.94235	19.3794	17.01557	20.19338	20.89948	19.88676	20.5116	21.37715	19.45211	19.91505	19.7944	18.93713	18.5656	18.87806	19.66312	18.92113	19.03157
alpha_rarefaction_12004_2.txt	12004	2	17.97073	20.29389	20.68966	20.69137	21.5029	19.73193	21.19628	19.9747	21.19888	20.32803	18.84434	19.49956	20.18788	20.70885	19.96338	20.53394	18.92924	17.23551	19.48537	20.34624	19.30601	20.35565	21.08585	18.04828	20.02654	19.75979	19.08298	18.83025	18.86521	19.84146	18.84037	18.99737
alpha_rarefaction_12004_3.txt	12004	3	17.87254	20.77322	20.96291	21.25613	21.83498	20.05382	20.71539	20.05339	20.99524	20.78051	19.01642	18.6225	20.12582	21.4558	19.83102	19.71211	18.63282	17.53904	20.13333	21.02929	19.83086	20.5601	21.02411	17.8648	19.75238	19.00936	18.64424	18.44957	18.95385	19.45745	18.53059	18.58635
alpha_rarefaction_12004_4.txt	12004	4	16.99539	20.03323	21.33286	20.3738	21.37085	20.15505	20.98969	19.54399	20.95541	20.14118	18.78944	19.10738	20.24464	20.95936	19.99597	20.14401	19.16856	16.49824	19.7486	21.29342	19.68568	19.52909	20.67746	18.75993	19.95733	18.66476	18.76224	18.36394	19.08336	19.79434	19.14499	18.70325
alpha_rarefaction_12004_5.txt	12004	5	17.10679	20.62852	20.55554	19.80028	21.08488	20.14693	21.48874	20.52768	21.09882	21.07224	19.96467	19.19601	20.46341	21.00522	20.19708	20.36017	19.02506	17.21789	20.07565	21.06099	19.96255	20.301	20.9304	18.64652	20.15405	19.3626	18.78183	18.25095	18.64452	20.46744	18.58868	18.95357
alpha_rarefaction_12004_6.txt	12004	6	17.64073	20.24371	21.4934	20.28432	21.65584	20.11512	20.63178	20.4815	21.13801	21.18882	19.52878	19.72739	21.19035	20.58399	20.02644	19.25672	19.05448	17.23788	19.33599	21.01619	19.77619	19.62245	20.64356	18.20042	19.99806	19.51507	18.8271	18.93407	19.05922	19.61965	18.83502	18.61307
alpha_rarefaction_12004_7.txt	12004	7	17.31812	20.69765	20.82475	20.40084	22.00137	20.07381	21.27122	20.52485	20.80746	20.54332	19.14061	18.82731	19.38081	21.43473	19.13108	20.48911	18.99957	16.74892	19.9437	20.35669	19.76286	20.15144	20.29658	18.92356	20.28178	19.4859	18.23206	18.47282	18.83667	20.12093	19.05726	19.00652
alpha_rarefaction_12004_8.txt	12004	8	18.02714	20.16805	21.49287	20.49404	21.43405	19.84063	20.87683	20.01354	21.03453	20.95751	19.2099	19.43766	20.18345	20.65895	19.46415	20.11025	19.28531	17.06917	19.89209	21.07509	19.39243	19.83071	20.45275	18.12018	20.14592	19.98945	18.89867	19.39134	19.03561	20.34071	18.94144	19.61142
alpha_rarefaction_12004_9.txt	12004	9	17.79171	21.20329	21.37353	19.71314	20.94307	20.057	21.17128	20.65239	21.0314	20.13381	18.57438	19.23396	20.07703	20.40641	19.76209	19.30041	19.12745	16.649	19.89589	21.01615	19.16953	20.10263	20.58084	18.78587	19.87243	19.15639	18.65731	18.07611	19.23303	19.94679	19.10397	18.74477
alpha_rarefaction_14003_0.txt	14003	0	18.24227	20.73418	21.51265	20.14721	21.69035	19.76514	21.25044	20.73268	20.62893	20.59393	20.03382	19.62922	20.14934	21.287	19.73833	21.04687	19.39547	17.41282	19.72305	21.19002	19.97426	20.0878	21.41868	19.10782	20.51566	19.32041	19.03437	18.91066	18.85317	20.67598	18.95791	19.91561
alpha_rarefaction_14003_1.txt	14003	1	17.64535	20.57946	21.48355	20.58965	21.63346	20.67812	20.60199	20.34753	21.62269	20.4866	19.21	19.33806	20.20118	20.71444	20.48272	20.41607	19.42433	17.39847	19.69702	21.72376	20.26693	20.75631	21.06319	19.01937	20.06044	20.19893	19.31985	19.51995	19.22705	20.95952	19.59206	19.3481
